,News Media,Date,Tweets Ago,Compound,Positive,Neutral,Negative,Tweet
469,nytimes,Tue Sep 11 16:30:09 +0000 2018,70,0.0,0.0,1.0,0.0,RT @nytvideo: We analyzed the construction of a new C.I.A. drone base in the Sahara Desert. Here's what we found: https://t.co/mU6a3dkKxk h…
470,nytimes,Tue Sep 11 16:20:04 +0000 2018,71,-0.8402,0.112,0.528,0.36,"India's Supreme Court has ruled that hunters may shoot to kill a tigress that is believed to have killed 13 people,… https://t.co/sxG8Rmwxi1"
471,nytimes,Tue Sep 11 16:10:07 +0000 2018,72,0.2023,0.096,0.904,0.0,A top Goldman Sachs banker called a whistle-blower hotline with ethics concerns. He left after his bosses urged him… https://t.co/yKqmeog8eU
472,nytimes,Tue Sep 11 16:05:05 +0000 2018,73,0.0,0.0,1.0,0.0,RT @mikiebarb: Mike Schmidt interviewing Bob Woodward yesterday at The Times. (Photo by Earl Wilson) the episode: https://t.co/jXz6HqWfNX h…
473,nytimes,Tue Sep 11 16:00:10 +0000 2018,74,-0.3182,0.0,0.887,0.113,"“We remember the moment when America fought back.”
During a trip to Pennsylvania, President Trump paid tribute to t… https://t.co/ggVeenj57N"
474,nytimes,Tue Sep 11 15:50:03 +0000 2018,75,0.0,0.0,1.0,0.0,"For nearly 17 years, the Cortlandt Street subway station, buried under World Trade Center debris, sat unused. This… https://t.co/hUsXys4Sgs"
475,nytimes,Tue Sep 11 15:37:05 +0000 2018,76,0.5106,0.136,0.864,0.0,RT @EricLiptonNYT: This was the hardest story personally I have ever worked on. Still think about it. A reminder that there are heroes even…
476,nytimes,Tue Sep 11 15:30:09 +0000 2018,77,-0.5859,0.09,0.683,0.227,"“We thank you for the legacy and the foundation that you set.”
17 years after the 9/11 terror attacks, family membe… https://t.co/7MPHpSTRUd"
477,nytimes,Tue Sep 11 15:20:09 +0000 2018,78,0.0,0.0,1.0,0.0,RT @nytimesworld: One member of Australia's Parliament recalled being asked if she had entered politics to find a husband. Others said male…
478,nytimes,Tue Sep 11 15:10:02 +0000 2018,79,0.6369,0.208,0.792,0.0,We're trying something different: A politics newsletter for people who don’t always love political stories. This is… https://t.co/rcaY813oWs
479,nytimes,Tue Sep 11 15:00:11 +0000 2018,80,0.0,0.0,1.0,0.0,"RT @nytimesworld: If there's one thing to learn from the tuskless elephants of Mozambique, it's that evolution can move at warp speed https…"
480,nytimes,Tue Sep 11 14:46:16 +0000 2018,81,0.0,0.0,1.0,0.0,"Stephen Colbert taunted Les Moonves and made reference to Louis C.K. on ""The Late Show with Stephen Colbert"" last n… https://t.co/YqsiRdPjKL"
481,nytimes,Tue Sep 11 14:44:03 +0000 2018,82,-0.0772,0.105,0.773,0.122,Primary season was full of surprises. Here's why the polls missed some of them. https://t.co/n8imUzPxe5 https://t.co/U6jo41dwPf
482,nytimes,Tue Sep 11 14:29:03 +0000 2018,83,0.0,0.0,1.0,0.0,"RT @MichaelPaulson: He's 20 feet tall. He weighs 2,000 pounds. And he’s coming to Broadway this fall. Meet King Kong, a massive marionette…"
483,nytimes,Tue Sep 11 14:20:07 +0000 2018,84,0.5267,0.151,0.794,0.056,"""I believe that in this century, we can win a four-day working week, with decent pay for everyone,"" said the head o… https://t.co/HaKiVyEfii"
484,nytimes,Tue Sep 11 14:10:05 +0000 2018,85,0.1531,0.074,0.926,0.0,"RT @cliffordlevy: NYT Scoop:
Cuomo’s administration offered inducements to the contractor on a major bridge so that it would open before th…"
485,nytimes,Tue Sep 11 14:00:12 +0000 2018,86,-0.4588,0.0,0.85,0.15,"Hurricane Florence could bring conditions that people have not seen in their lifetimes. ""It's a dire situation that… https://t.co/Pn5PaeqUxk"
486,nytimes,Tue Sep 11 13:44:05 +0000 2018,87,-0.7096,0.0,0.803,0.197,RT @nytopinion: My brother died in 9/11. I fought in Afghanistan and Iraq. But it's taken this long for me to realize the meaning of it all…
487,nytimes,Tue Sep 11 13:15:09 +0000 2018,88,0.0,0.0,1.0,0.0,"The race to watch in New Hampshire is in the First District, where 11 Democrats, including the son of Senator Berni… https://t.co/mwtrGqLrPF"
